à	a
argent	urgent
attitude	altitude
au	an
avant	ayant
bien	bleu
botte	hotte
cette	celle
cette	celte
coeur	cour
commençait	commentait
commencèrent	commenceront
de	dé
de	do
de	du
des	dos
dès	des
deux	doux
digne	digue
dire	dure
donc	doue
empêcher	empocher
en	on
en	ou
et	fit
eût	eut
fit	fît
gêne	gène
groupés	groupes
Il	11
Il	II
Il	ll
intrigués	intrigues
jeûne	jeune
l'	I'
les	las
ligne	ligue
mal	mai
me	ne
me	nie
même	môme
mer	nier
mon	mou
moyen	moyeu
ni	m
notre	noire
on	où
partie	partis
pas	pus
pêcheur	pécheur
pen	peu
Pour	Four
précisément	préciserait
rien	lieu
rose	rosé
se	fie
se	su
son	sou
son	ton
tout	tant
toute	tante
toutes	tontes
tu	lu
un	fin
un	tin
une	lune
voulait	roulait
yeux	jeux
