Cuidad	Ciudad
Oue	Que
abí	ahí
ai	al
aon	son
ana	una
antas	antes
apenus	apenas
aus	sus
aí	al
ban	han
cado	cada
ccn	con
cle	de
colma	colina
corno	como
cuidad	ciudad
dei	del
do	de
dol	del
dondo	donde
dssde	desde
eataba	estaba
ei	el
enire	entre
enlre	entre
entaba	estaba
estompas	estampas
eu	en
fln	fin
gue	que
ia	la
igiesia	iglesia
ios	los
laa	las
lea	les
lia	ha
liaber	haber
loa	los
loe	los
ln	la
mepte	mente
misino	mismo
misnio	mismo
motro	metro
mujeras	mujeres
muía	mula
nenos	menos
nn	un
oflicial	oficial
ol	el
on	en
ontre	entre
ooncurso	concurso
oristiana	cristiana
oristiano	cristiano
oájeto	objeto
palabre	palabra
pinlura	pintura
qne	que
qn	qu
qua	que
qui	que
quo	que
qve	que
ralor	valor
sa	se
sania	santa
sanía	santa
serla	sería
so	se
sn	su
sulud	salud
um	un
uns	una
uoa	una
uua	una
uuas	unas
ía	la
